gold_id,source_seed_id,known_errors,topic,item_format,difficulty,question,expected_revision_question,changed_in_v3,v3_change_reason
gold-200-rewritten-130,candidate-v1-single-incomplete-options-002,incomplete_options,education,categorical_closed_ended,obvious,What is the highest level of education you have completed?,What is the highest level of education you have completed?,False,
gold-200-rewritten-131,candidate-v1-single-incomplete-options-003,incomplete_options,mobility,categorical_closed_ended,realistic,Which mode of transport do you usually use for commuting?,Which mode of transport do you usually use for commuting?,False,
gold-200-rewritten-132,candidate-v1-single-incomplete-options-004,incomplete_options,labor,categorical_closed_ended,borderline,Which of the following best describes your current employment status?,Which of the following best describes your current employment status?,False,
gold-200-rewritten-133,candidate-v1-single-incomplete-options-008,incomplete_options,health,categorical_closed_ended,obvious,What type of health insurance do you currently have?,What type of health insurance do you currently have?,False,
gold-200-rewritten-134,candidate-v1-single-incomplete-options-010,incomplete_options,education,categorical_closed_ended,realistic,Which device do you use most often for online learning?,Which device do you use most often for online learning?,False,
gold-200-rewritten-135,candidate-v1-single-incomplete-options-009,incomplete_options,finances,categorical_closed_ended,borderline,How do you usually pay your housing costs?,How do you usually pay your housing costs?,False,
gold-200-rewritten-136,candidate-v1-single-incomplete-options-006,incomplete_options,media/culture,categorical_closed_ended,obvious,In which language do you consume most news media?,In which language do you consume most news media?,False,
gold-200-rewritten-137,candidate-v1-single-non-exclusive-options-009,non_exclusive_options,finances,numeric_ranges,realistic,What was your personal net income last month?,What was your personal net income last month?,False,
gold-200-rewritten-138,candidate-v1-single-non-exclusive-options-008,non_exclusive_options,health,numeric_ranges,borderline,How many minutes of moderate physical activity did you do last week?,How many minutes of moderate physical activity did you do last week?,False,
gold-200-rewritten-139,candidate-v1-single-non-exclusive-options-002,non_exclusive_options,education,numeric_ranges,obvious,How many classes did you miss in the last 4 weeks?,How many classes did you miss in the last 4 weeks?,False,
gold-200-rewritten-140,candidate-v1-single-non-exclusive-options-001,non_exclusive_options,work,numeric_ranges,realistic,How many people work at your organization?,How many people work at your organization?,False,
gold-200-rewritten-141,candidate-v1-single-non-exclusive-options-005,non_exclusive_options,family/household,numeric_ranges,borderline,How many hours did you spend on childcare last week?,How many hours did you spend on childcare last week?,False,
gold-200-rewritten-142,candidate-v1-single-non-exclusive-options-003,non_exclusive_options,mobility,numeric_ranges,obvious,How long is your usual one-way commute?,How long is your usual one-way commute?,False,
gold-200-rewritten-143,candidate-v1-single-non-exclusive-options-010,non_exclusive_options,technology,numeric_ranges,realistic,How much non-work screen time did you have yesterday?,How much non-work screen time did you have yesterday?,False,
gold-200-rewritten-144,candidate-v1-single-non-exclusive-options-007,non_exclusive_options,university life,numeric_ranges,borderline,How many credits are you taking this semester?,How many credits are you taking this semester?,False,
gold-200-rewritten-145,candidate-v1-single-missing-scale-labels-003,missing_scale_labels,health,numeric_ranges,obvious,How much pain are you experiencing today?,How much pain are you experiencing today?,False,
gold-200-rewritten-146,candidate-v1-single-missing-scale-labels-008,missing_scale_labels,technology,numeric_ranges,realistic,How confident are you that you can identify phishing messages?,How confident are you that you can identify phishing messages?,False,
gold-200-rewritten-147,candidate-v1-single-missing-scale-labels-009,missing_scale_labels,environment,numeric_ranges,borderline,"On the 1-to-5 scale, rate your concern about local flooding.",How concerned are you about local flooding?,False,
gold-200-rewritten-148,candidate-v1-single-missing-scale-labels-005,missing_scale_labels,work,numeric_ranges,obvious,How much control do you have over the order of your daily tasks?,How much control do you have over the order of your daily tasks?,False,
gold-200-rewritten-149,candidate-v1-single-missing-scale-labels-004,missing_scale_labels,education,numeric_ranges,realistic,How difficult are the course materials this semester?,How difficult are the course materials this semester?,False,
gold-200-rewritten-150,candidate-v1-single-missing-scale-labels-001,missing_scale_labels,public services,numeric_ranges,borderline,How easy was it to use the online booking system?,How easy was it to use the online booking system?,False,
gold-200-rewritten-151,candidate-v1-single-missing-scale-labels-011,missing_scale_labels,media/culture,numeric_ranges,obvious,"On the numbered scale, rate your trust in event information shared on social media.",How much do you trust event information shared on social media?,False,
gold-200-rewritten-152,candidate-v1-single-missing-scale-labels-010,missing_scale_labels,family/household,numeric_ranges,realistic,How stressful are your household responsibilities at the moment?,How stressful are your household responsibilities at the moment?,False,
gold-200-rewritten-153,candidate-v1-single-too-many-scale-points-001,too_many_scale_points,politics/public policy,numeric_ranges,borderline,"Using the 0-to-20 scale, indicate your support or opposition to participatory budgeting in your municipality.",To what extent do you support or oppose participatory budgeting in your municipality?,False,
gold-200-rewritten-154,candidate-v1-single-too-many-scale-points-003,too_many_scale_points,public services,numeric_ranges,obvious,"On a 0-to-100 scale, rate your satisfaction with pharmacy opening hours in your area.",How satisfied or dissatisfied are you with pharmacy opening hours in your area?,False,
gold-200-rewritten-155,candidate-v1-single-too-many-scale-points-013,too_many_scale_points,environment,numeric_ranges,realistic,Rate your concern about microplastics in local waterways on a 0-to-30 scale.,How concerned are you about microplastics in local waterways?,False,
gold-200-rewritten-156,candidate-v1-single-too-many-scale-points-005,too_many_scale_points,education,numeric_ranges,borderline,How important are digital literacy classes in secondary schools?,How important or unimportant are digital literacy classes in secondary schools?,False,
gold-200-rewritten-157,candidate-v1-single-too-many-scale-points-015,too_many_scale_points,mobility,numeric_ranges,obvious,Choose a number from 0 to 25 to show your satisfaction with bicycle parking near train stations.,How satisfied or dissatisfied are you with bicycle parking near train stations?,False,
gold-200-rewritten-158,candidate-v1-single-too-many-scale-points-007,too_many_scale_points,labor,numeric_ranges,realistic,How fair is the allocation of shifts in your workplace?,How fair or unfair is the allocation of shifts in your workplace?,False,
gold-200-rewritten-159,candidate-v1-single-too-many-scale-points-011,too_many_scale_points,technology,numeric_ranges,borderline,Use the 0-to-20 scale to show your trust in cloud storage providers to protect your files.,How much do you trust or distrust cloud storage providers to protect your files?,False,
gold-200-rewritten-160,candidate-v1-single-too-many-scale-points-021,too_many_scale_points,university life,numeric_ranges,obvious,"For this semester’s exam schedule, choose a number from 0 to 40 to show your satisfaction.",How satisfied or dissatisfied are you with the scheduling of exams this semester?,False,
gold-200-rewritten-161,candidate-v1-single-polarity-mismatch-003,polarity_mismatch,health,ordinal_categories,realistic,Please rate your concern about side effects of your current medication.,How concerned are you about side effects of your current medication?,False,
gold-200-rewritten-162,candidate-v1-single-polarity-mismatch-008,polarity_mismatch,university life,ordinal_categories,borderline,Please rate your satisfaction with the password-reset process for university accounts.,How satisfied or dissatisfied are you with the password-reset process for university accounts?,False,
gold-200-rewritten-163,candidate-v1-single-polarity-mismatch-009,polarity_mismatch,environment,support_oppose,obvious,Do you support or oppose planting more street trees?,To what extent do you support or oppose planting more street trees?,False,
gold-200-rewritten-164,candidate-v1-single-polarity-mismatch-005,polarity_mismatch,work,frequency,realistic,"At your workplace, how often are you given feedback on your work?",How often do you receive feedback on your work?,False,
gold-200-rewritten-165,candidate-v1-single-polarity-mismatch-004,polarity_mismatch,education,ordinal_categories,borderline,How difficult was it to register for required courses this semester?,How easy or difficult was it to register for required courses this semester?,False,
gold-200-rewritten-166,candidate-v1-single-polarity-mismatch-001,polarity_mismatch,public services,ordinal_categories,obvious,Please rate your trust in emergency alert messages from public authorities.,How much do you trust or distrust emergency alert messages from public authorities?,False,
gold-200-rewritten-167,candidate-v1-single-polarity-mismatch-010,polarity_mismatch,family/household,ordinal_categories,realistic,Rate the fairness of how elder-care tasks are shared in your household.,How fair or unfair is the division of elder-care tasks in your household?,False,
gold-200-rewritten-168,candidate-v1-single-polarity-mismatch-011,polarity_mismatch,media/culture,ordinal_categories,borderline,How important are local cultural venues for your community?,How important or unimportant are local cultural venues for your community?,False,
gold-200-rewritten-169,candidate-v1-multi-leading-question-unbalanced-scale-001,leading_question;unbalanced_scale,politics/public policy,support_oppose,obvious,"Everyone benefits when diseases are caught early, so how strongly do you favor free annual health checks?",To what extent do you support or oppose offering free annual health checks?,False,
gold-200-rewritten-170,candidate-v1-multi-leading-question-unbalanced-scale-002,leading_question;unbalanced_scale,politics/public policy,support_oppose,realistic,"Since more trees obviously make neighborhoods better, how positive are you about a small tree-planting levy?",To what extent do you support or oppose a small levy for planting street trees?,False,
gold-200-rewritten-171,candidate-v1-multi-double-barreled-leading-question-002,double_barreled;leading_question,public services,ordinal_categories,borderline,"Given that digital services save everyone time, how satisfied are you with online government forms and the helpfulness of service-office staff?",How satisfied or dissatisfied are you with online government forms?,False,
gold-200-rewritten-172,candidate-v1-multi-double-barreled-leading-question-001,double_barreled;leading_question,mobility,binary_yes_no,obvious,"Because sustainable travel is important, should the city improve cycle lanes and raise parking prices?",To what extent do you support or oppose improving cycle lanes?,False,
gold-200-rewritten-173,candidate-v1-multi-incomplete-options-non-exclusive-options-001,incomplete_options;non_exclusive_options,work,numeric_ranges,realistic,How many days did you work remotely last week?,How many days did you work remotely last week?,False,
gold-200-rewritten-174,candidate-v1-multi-incomplete-options-non-exclusive-options-002,incomplete_options;non_exclusive_options,finances,numeric_ranges,borderline,How much rent did your household pay last month?,How much rent did your household pay last month?,False,
gold-200-rewritten-175,candidate-v1-multi-agree-disagree-scale-negative-wording-001,agree_disagree_scale;negative_wording,education,likert_agreement,obvious,Please indicate whether you disagree that the grading criteria were not unclear.,How clear or unclear were the grading criteria for this course?,False,
gold-200-rewritten-176,candidate-v1-multi-agree-disagree-scale-negative-wording-002,agree_disagree_scale;negative_wording,technology,likert_agreement,realistic,Please indicate agreement or disagreement with this statement: it is not difficult to opt out of app data sharing.,How easy or difficult is it to opt out of app data sharing?,False,
gold-200-rewritten-177,candidate-v1-multi-loaded-question-sensitive-topic-direct-001,loaded_question;sensitive_topic_direct,sensitive behaviors,filter_question,borderline,How much did using drugs not legally available to you interfere with your class or work attendance during the last 12 months?,"This item is optional. During the last 12 months, did you use drugs not legally available to you? If yes, how much, if at all, did this interfere with your class or work attendance?",True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-178,candidate-v1-multi-loaded-question-sensitive-topic-direct-002,loaded_question;sensitive_topic_direct,education,filter_question,obvious,How much did paying someone to complete coursework for you improve your academic results this year?,"This item is optional. This academic year, did you pay someone to complete coursework for you? If yes, how much, if at all, did this affect your academic results?",True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-179,candidate-v1-multi-missing-scale-labels-too-many-scale-points-001,missing_scale_labels;too_many_scale_points,university life,numeric_ranges,realistic,How stressful is the exam schedule this semester?,How stressful is the exam schedule this semester?,False,
gold-200-rewritten-180,candidate-v1-multi-missing-scale-labels-too-many-scale-points-002,missing_scale_labels;too_many_scale_points,public services,numeric_ranges,borderline,How easy is it to understand tax letters from public offices?,How easy or difficult is it to understand tax letters from public offices?,False,
gold-200-rewritten-181,candidate-v1-multi-negative-wording-polarity-mismatch-001,negative_wording;polarity_mismatch,environment,support_oppose,obvious,How unconcerned are you about not reducing household energy use?,How concerned are you about your household’s energy use?,False,
gold-200-rewritten-182,candidate-v1-multi-negative-wording-polarity-mismatch-002,negative_wording;polarity_mismatch,health,ordinal_categories,realistic,How easy is it for you not to avoid missing medication doses?,How easy or difficult is it for you to take medication as prescribed?,False,
gold-200-rewritten-183,candidate-v1-multi-non-exclusive-options-open-closed-mismatch-001,non_exclusive_options;open_closed_mismatch,mobility,open_ended,borderline,Please describe why you usually travel by car.,What is the main reason you usually travel by car?,False,
gold-200-rewritten-184,candidate-v1-multi-non-exclusive-options-open-closed-mismatch-002,non_exclusive_options;open_closed_mismatch,family/household,open_ended,obvious,"In your own words, why do you use paid childcare?",What is the main reason your household uses paid childcare?,False,
gold-200-rewritten-185,candidate-v1-multi-open-closed-mismatch-loaded-question-001,open_closed_mismatch;loaded_question,technology,open_ended,realistic,Why did you bypass the privacy settings in your most-used app?,"Have you ever changed or bypassed privacy settings in your most-used app? If yes, what was the main reason?",True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-186,candidate-v1-multi-open-closed-mismatch-loaded-question-002,open_closed_mismatch;loaded_question,work,open_ended,borderline,Explain why you skipped mandatory workplace training this year.,"This year, did you miss any mandatory workplace training? If yes, what was the main reason?",True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-187,candidate-v1-multi-polarity-mismatch-incomplete-options-001,polarity_mismatch;incomplete_options,media/culture,ordinal_categories,obvious,"During the last 3 months, how often did you attend local cultural events?",How often did you attend local cultural events in the last 3 months?,False,
gold-200-rewritten-188,candidate-v1-multi-polarity-mismatch-incomplete-options-002,polarity_mismatch;incomplete_options,education,ordinal_categories,realistic,Which type of support would help you most during online exams?,Which type of support would help you most during online exams?,False,
gold-200-rewritten-189,candidate-v1-multi-recall-error-double-barreled-001,recall_error;double_barreled,health,frequency,borderline,"Across the past year, how many times did you exercise for at least 30 minutes and sleep well that night?","In the past 7 days, on how many days did you exercise for at least 30 minutes?",False,
gold-200-rewritten-190,candidate-v1-multi-recall-error-double-barreled-002,recall_error;double_barreled,technology,frequency,obvious,"In the last year, how many times did you install software updates and change passwords promptly?","In the last 30 days, how many times did you install software updates when prompted?",False,
gold-200-rewritten-191,candidate-v1-multi-sensitive-topic-direct-social-desirability-001,sensitive_topic_direct;social_desirability,finances,binary_yes_no,realistic,Honest people report all taxable income. Did you fail to report any taxable income last year?,"People have different experiences, and you may skip this question. Last year, did you leave any taxable income off an official tax form?",False,
gold-200-rewritten-192,candidate-v1-multi-sensitive-topic-direct-social-desirability-002,sensitive_topic_direct;social_desirability,family/household,binary_yes_no,borderline,Responsible family members do not shout during conflicts. Did you shout at someone in your household in the last month?,"People have different household experiences, and you may skip this question. In the last month, did you shout at someone in your household during a conflict?",False,
gold-200-rewritten-193,candidate-v1-multi-social-desirability-vague-ambiguous-003,social_desirability;vague_ambiguous,environment,frequency,obvious,"Thinking about daily life, how often do you behave sustainably, as everyone should?","During a typical week, how often do you choose a lower-waste option when one is available?",False,
gold-200-rewritten-194,candidate-v1-multi-social-desirability-vague-ambiguous-002,social_desirability;vague_ambiguous,university life,frequency,realistic,How often are you a good participant in seminars?,"During the last four seminar meetings, how often did you contribute at least one question or comment?",False,
gold-200-rewritten-195,candidate-v1-multi-too-many-scale-points-agree-disagree-scale-001,too_many_scale_points;agree_disagree_scale,politics/public policy,numeric_ranges,borderline,"On a scale from 0 to 20, how much do you agree that more visible police patrols make neighborhoods safer?",To what extent do you support or oppose increasing visible police patrols in your neighborhood?,False,
gold-200-rewritten-196,candidate-v1-multi-too-many-scale-points-agree-disagree-scale-003,too_many_scale_points;agree_disagree_scale,public services,numeric_ranges,obvious,"Using the 0-30 scale, how strongly do you agree that automatic vaccination reminders are useful?",How useful or not useful would automatic vaccination reminders be for you?,False,
gold-200-rewritten-197,candidate-v1-multi-unbalanced-scale-missing-scale-labels-001,unbalanced_scale;missing_scale_labels,education,numeric_ranges,realistic,How acceptable is using AI tools to support grading?,How acceptable or unacceptable is using AI tools to support grading?,False,
gold-200-rewritten-198,candidate-v1-multi-unbalanced-scale-missing-scale-labels-003,unbalanced_scale;missing_scale_labels,politics/public policy,numeric_ranges,borderline,Please rate how much you favor lowering the voting age for local elections.,To what extent do you support or oppose lowering the voting age for local elections?,False,
gold-200-rewritten-199,candidate-v1-multi-vague-ambiguous-recall-error-009,vague_ambiguous;recall_error,media/culture,frequency,obvious,"Over the past year, how often did you do cultural things online?","In the past 30 days, how often did you watch, read, or listen to a cultural event or performance online?",False,
gold-200-rewritten-200,candidate-v1-multi-vague-ambiguous-recall-error-002,vague_ambiguous;recall_error,public services,frequency,realistic,"Over the past year, how often did you sort out paperwork with authorities?","In the past 3 months, how many times did you submit, renew, or request an official document from a public office?",False,
