id,is_flawed,known_errors,topic,target_concept,question,response_options,expected_revision_question,expected_revision_response_options,revision_notes,difficulty,item_format,source_seed_id,benchmark_version,v3_cleanup_replacement,v3_cleanup_reason
gold-200-rewritten-055,True,loaded_question,politics/public policy,support for reducing spending on decorative public signs,Do you support or oppose reducing the city's excessive spending on decorative public signs?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support"", ""Not sure""]",Do you support or oppose reducing city spending on decorative public signs?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support"", ""Not sure""]","[""Remove the presupposition that the spending is excessive."", ""Keep a balanced support-oppose scale.""]",obvious,support_oppose,candidate-v1-single-loaded-question-009,final_gold_200_unique_v3_pure_loaded,True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-056,True,loaded_question,health,whether clinic appointment reminders caused missed or rescheduled appointments,"This year, did the clinic's confusing appointment reminders cause you to miss or reschedule an appointment?","[""Yes"", ""No"", ""I did not receive clinic appointment reminders this year"", ""I did not have clinic appointments this year""]","This year, did appointment reminders from a clinic cause you to miss or reschedule an appointment?","[""Yes"", ""No"", ""I did not receive clinic appointment reminders this year"", ""I did not have clinic appointments this year""]","[""Remove the presupposition that the reminders were confusing."", ""Include no-reminder and no-appointment paths to avoid incomplete response coverage.""]",realistic,binary_yes_no,candidate-v1-single-loaded-question-005,final_gold_200_unique_v3_pure_loaded,True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-057,True,double_barreled,public services,satisfaction with clarity of forms and waiting times,Please rate your satisfaction with the clarity of municipal forms and the waiting time for appointments at the service office.,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]",How satisfied or dissatisfied are you with the clarity of municipal forms?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]","[""Split the form-clarity and appointment-waiting-time constructs into separate items.""]",borderline,ordinal_categories,candidate-v1-single-double-barreled-001,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-058,True,double_barreled,mobility,evaluation of bus punctuality and ticket prices,How would you rate the punctuality of buses and the affordability of ticket prices in your area?,"[""Very poor"", ""Poor"", ""Neither poor nor good"", ""Good"", ""Very good""]",How would you rate the punctuality of buses in your area?,"[""Very poor"", ""Poor"", ""Neither poor nor good"", ""Good"", ""Very good""]","[""Ask about punctuality separately from ticket affordability.""]",obvious,ordinal_categories,candidate-v1-single-double-barreled-002,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-059,True,double_barreled,health,satisfaction with doctor availability and explanation quality,"When seeking care, how satisfied are you with appointment availability and how clearly doctors explain treatments?","[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]",How satisfied or dissatisfied are you with how easy it is to get a doctor appointment?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]","[""Separate access to appointments from quality of explanations.""]",realistic,ordinal_categories,candidate-v1-single-double-barreled-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-060,True,double_barreled,university life,trust in data security and ease of use of university platforms,"When using the university online platform, how much do you trust it to protect your data and be easy to use?","[""Do not trust at all"", ""Trust a little"", ""Trust somewhat"", ""Trust a lot"", ""Trust completely""]",How much do you trust the university online platform to protect your data?,"[""Do not trust at all"", ""Trust a little"", ""Trust somewhat"", ""Trust a lot"", ""Trust completely""]","[""Data protection and ease of use are different concepts and should be asked separately.""]",borderline,ordinal_categories,candidate-v1-single-double-barreled-008,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-061,True,double_barreled,family/household,fairness of chores and childcare division,"In your household, how fair is the division of routine chores and childcare responsibilities?","[""Very unfair"", ""Somewhat unfair"", ""Neither fair nor unfair"", ""Somewhat fair"", ""Very fair"", ""Not applicable""]",How fair or unfair is the division of routine household chores in your household?,"[""Very unfair"", ""Somewhat unfair"", ""Neither fair nor unfair"", ""Somewhat fair"", ""Very fair"", ""Not applicable""]","[""Separate routine chores from childcare responsibilities.""]",obvious,ordinal_categories,candidate-v1-single-double-barreled-010,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-062,True,double_barreled,labor,satisfaction with pay and schedule flexibility,"Overall, how satisfied are you with your pay and your ability to adjust your work schedule?","[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied"", ""Not applicable""]",How satisfied or dissatisfied are you with your pay?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied"", ""Not applicable""]","[""Ask pay satisfaction separately from schedule flexibility.""]",realistic,ordinal_categories,candidate-v1-single-double-barreled-005,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-063,True,double_barreled,environment,concern about air quality and noise,Please rate your concern about air quality and noise levels in your neighborhood.,"[""Not at all concerned"", ""Slightly concerned"", ""Moderately concerned"", ""Very concerned"", ""Extremely concerned""]",How concerned are you about air quality in your neighborhood?,"[""Not at all concerned"", ""Slightly concerned"", ""Moderately concerned"", ""Very concerned"", ""Extremely concerned""]","[""Separate air quality from noise levels because respondents may evaluate them differently.""]",borderline,ordinal_categories,candidate-v1-single-double-barreled-009,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-064,True,double_barreled,university life,evaluation of teaching quality and cafeteria prices,How would you rate the quality of teaching and the affordability of cafeteria meals this semester?,"[""Very poor"", ""Poor"", ""Neither poor nor good"", ""Good"", ""Very good""]",How would you rate the quality of teaching this semester?,"[""Very poor"", ""Poor"", ""Neither poor nor good"", ""Good"", ""Very good""]","[""Split teaching quality and cafeteria affordability into separate items.""]",obvious,ordinal_categories,candidate-v1-single-double-barreled-012,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-065,True,recall_error,media/culture,frequency of checking local event listings,"Over the last 12 months, how many times did you check online listings for local events?","[""0 times"", ""1-10 times"", ""11-50 times"", ""More than 50 times""]","In the past 30 days, how often did you check online listings for local events?","[""Never"", ""Once"", ""2-3 times"", ""Weekly"", ""Several times per week""]","[""Shorten the recall period for a routine online behavior.""]",realistic,frequency,candidate-v1-single-recall-error-001,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-066,True,recall_error,mobility,frequency of cycling trips,"During the last year, how many individual trips did you make by bicycle?","[""0 trips"", ""1-20 trips"", ""21-100 trips"", ""More than 100 trips""]","In the past 7 days, how many trips did you make by bicycle?","[""0 trips"", ""1 trip"", ""2-3 trips"", ""4-6 trips"", ""7 or more trips""]","[""Use a shorter reference period that respondents can estimate more reliably.""]",borderline,frequency,candidate-v1-single-recall-error-002,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-067,True,recall_error,health,frequency of eating vegetables,"In the past 12 months, on how many days did you eat vegetables?","[""0-30 days"", ""31-120 days"", ""121-240 days"", ""More than 240 days""]","In the past 7 days, on how many days did you eat vegetables?","[""0 days"", ""1-2 days"", ""3-4 days"", ""5-6 days"", ""7 days""]","[""Avoid asking respondents to count a frequent behavior across a full year.""]",obvious,frequency,candidate-v1-single-recall-error-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-068,True,recall_error,technology,frequency of dismissing phone notifications,"Thinking about the last 12 months, how many times did you dismiss notifications on your phone without reading them?","[""0 times"", ""1-50 times"", ""51-200 times"", ""More than 200 times""]","Yesterday, about how often did you dismiss phone notifications without reading them?","[""Never"", ""1-5 times"", ""6-10 times"", ""11-20 times"", ""More than 20 times""]","[""Reduce recall burden for a high-frequency behavior.""]",realistic,frequency,candidate-v1-single-recall-error-008,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-069,True,recall_error,work,frequency of checking work messages after hours,"Thinking back over the previous year, how many evenings did you check work messages after your scheduled hours?","[""0 evenings"", ""1-20 evenings"", ""21-100 evenings"", ""More than 100 evenings"", ""Not applicable""]","During the past 14 days, on how many evenings did you check work messages after your scheduled hours?","[""0 evenings"", ""1-2 evenings"", ""3-5 evenings"", ""6-10 evenings"", ""More than 10 evenings"", ""Not applicable""]","[""Use a shorter period for repeated after-hours behavior.""]",borderline,frequency,candidate-v1-single-recall-error-005,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-070,True,recall_error,education,frequency of reviewing lecture notes,"Since the beginning of the academic year, how many times have you reviewed lecture notes after class?","[""0 times"", ""1-10 times"", ""11-50 times"", ""More than 50 times""]","During the last 2 weeks of classes, how often did you review lecture notes after class?","[""Not at all"", ""Once"", ""2-3 times"", ""4-6 times"", ""7 or more times""]","[""Shorten the reference period to improve recall accuracy.""]",obvious,frequency,candidate-v1-single-recall-error-004,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-071,True,recall_error,public services,frequency of visiting municipal websites,"Over the past 12 months, how many times did you visit a municipal website to look for information?","[""0 times"", ""1-5 times"", ""6-20 times"", ""More than 20 times""]","In the past 3 months, how often did you visit a municipal website to look for information?","[""Never"", ""Once"", ""2-3 times"", ""Monthly"", ""More than monthly""]","[""Use a time frame that matches the salience of the behavior.""]",realistic,frequency,candidate-v1-single-recall-error-012,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-072,True,recall_error,finances,frequency of checking account balance,"In the last year, how many times did you check the balance of your main bank account?","[""0 times"", ""1-20 times"", ""21-100 times"", ""More than 100 times""]","In the past 7 days, how often did you check the balance of your main bank account?","[""Not at all"", ""Once"", ""2-3 times"", ""4-6 times"", ""Daily""]","[""Ask about a recent short period for a frequent financial behavior.""]",borderline,frequency,candidate-v1-single-recall-error-007,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-073,True,vague_ambiguous,public services,clarity of eligibility information for housing support,How good is the city’s help for people who need housing support?,"[""Bad"", ""Okay"", ""Good""]",How clear or unclear was the eligibility information for housing support on the city website the last time you looked for it?,"[""Very unclear"", ""Somewhat unclear"", ""Neither clear nor unclear"", ""Somewhat clear"", ""Very clear"", ""Not applicable""]","[""Specify the service element and use interpretable response labels.""]",obvious,ordinal_categories,candidate-v1-single-vague-ambiguous-001,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-074,True,vague_ambiguous,health,perceived access to mental health services,Do you have enough access to mental health support?,"[""No"", ""Maybe"", ""Yes""]",How easy or difficult would it be for you to arrange an appointment with a mental health professional within the next 4 weeks?,"[""Very difficult"", ""Somewhat difficult"", ""Neither easy nor difficult"", ""Somewhat easy"", ""Very easy"", ""Not sure""]","[""Clarify what access means and define a concrete time frame.""]",realistic,ordinal_categories,candidate-v1-single-vague-ambiguous-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-075,True,vague_ambiguous,university life,perceived quality of campus Wi-Fi,How is the Wi-Fi these days?,"[""Bad"", ""Fine"", ""Good""]","During the last 2 weeks on campus, how satisfied or dissatisfied were you with the reliability of the Wi-Fi connection?","[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied"", ""Not applicable""]","[""Replace vague wording with a specific setting and attribute.""]",borderline,ordinal_categories,candidate-v1-single-vague-ambiguous-008,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-076,True,vague_ambiguous,work,sense of work-life balance,Is your work-life balance okay?,"[""No"", ""Somewhat"", ""Yes""]","During the last 4 weeks, how satisfied or dissatisfied were you with the amount of time left for personal life after work?","[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied"", ""Not applicable""]","[""Define the construct more precisely and provide balanced response options.""]",obvious,ordinal_categories,candidate-v1-single-vague-ambiguous-005,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-077,True,vague_ambiguous,environment,views about local green areas,What do you think about green spaces around here?,"[""Bad"", ""Average"", ""Good""]",How satisfied or dissatisfied are you with the availability of public green spaces within walking distance of your home?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied"", ""Not sure""]","[""Specify the aspect of green spaces and the reference area.""]",realistic,ordinal_categories,candidate-v1-single-vague-ambiguous-009,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-078,True,vague_ambiguous,education,assessment of academic support,Was academic support useful?,"[""Not useful"", ""Useful""]",How useful or not useful was academic support for understanding course requirements this semester?,"[""Not at all useful"", ""Slightly useful"", ""Moderately useful"", ""Very useful"", ""Extremely useful"", ""Did not use academic support""]","[""State the support type and reference period explicitly.""]",borderline,ordinal_categories,candidate-v1-single-vague-ambiguous-004,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-079,True,vague_ambiguous,family/household,perceived adequacy of childcare options,Are childcare options in your area good?,"[""No"", ""Somewhat"", ""Yes""]",How satisfied or dissatisfied are you with the availability of childcare options within 30 minutes of your home?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied"", ""Not applicable""]","[""Clarify the dimension of childcare and the geographic reference.""]",obvious,ordinal_categories,candidate-v1-single-vague-ambiguous-010,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-080,True,vague_ambiguous,media/culture,perceived relevance of local news,How relevant is local news for you?,"[""Not relevant"", ""Relevant""]",How relevant or irrelevant are local news stories to decisions you make about activities in your area?,"[""Very irrelevant"", ""Somewhat irrelevant"", ""Neither relevant nor irrelevant"", ""Somewhat relevant"", ""Very relevant""]","[""Specify what relevance refers to and balance the response options.""]",realistic,ordinal_categories,candidate-v1-single-vague-ambiguous-011,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-081,True,sensitive_topic_direct,finances,late rent or mortgage payments,Have you been late paying rent or a mortgage in the last 12 months?,"[""Yes"", ""No""]","People have different experiences, and you may skip this question. In the last 12 months, were you late paying rent or a mortgage?","[""Yes"", ""No"", ""Prefer not to answer""]","[""Reduce threat and provide a prefer-not-to-answer option.""]",borderline,binary_yes_no,candidate-v1-single-sensitive-topic-direct-001,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-082,True,sensitive_topic_direct,sensitive behaviors,use of unauthorized assistance in assignments,Did you use unauthorized help to complete an assignment this semester?,"[""Yes"", ""No""]","People have different experiences, and you may skip this question. This semester, did you use help that was not allowed for an assignment?","[""Yes"", ""No"", ""Prefer not to answer""]","[""Add permission to skip and soften the sensitive wording without changing the construct.""]",obvious,binary_yes_no,candidate-v1-single-sensitive-topic-direct-002,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-083,True,sensitive_topic_direct,sensitive behaviors,recreational drug use,Have you used illegal drugs in the past 12 months?,"[""Yes"", ""No""]","People have different experiences, and you may skip this question. During the past 12 months, did you use any drugs that were not legally available to you?","[""Yes"", ""No"", ""Prefer not to answer""]","[""Use less accusatory wording and include a prefer-not-to-answer option.""]",realistic,binary_yes_no,candidate-v1-single-sensitive-topic-direct-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-084,True,sensitive_topic_direct,labor,being disciplined at work,Were you formally disciplined by your employer in the last year?,"[""Yes"", ""No""]","People have different employment experiences, and you may skip this question. During the last year, were you formally disciplined by an employer?","[""Yes"", ""No"", ""Prefer not to answer"", ""Not applicable""]","[""Normalize the sensitivity and allow nonresponse or not-applicable.""]",borderline,binary_yes_no,candidate-v1-single-sensitive-topic-direct-007,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-085,True,sensitive_topic_direct,family/household,household conflict involving shouting,Did someone in your household shout at or threaten you in the last 6 months?,"[""Yes"", ""No""]","People have different household experiences, and you may skip this question. In the last 6 months, did someone in your household shout at or threaten you?","[""Yes"", ""No"", ""Prefer not to answer"", ""Not applicable""]","[""Add a protective introduction and an explicit nonresponse option.""]",obvious,binary_yes_no,candidate-v1-single-sensitive-topic-direct-006,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-086,True,sensitive_topic_direct,health,avoiding medical care because of embarrassment,Did you avoid medical care because you were embarrassed about your symptoms?,"[""Yes"", ""No""]","People have different experiences, and you may skip this question. In the last 12 months, did embarrassment about symptoms lead you to avoid medical care?","[""Yes"", ""No"", ""Prefer not to answer""]","[""Reduce judgmental tone and include a prefer-not-to-answer option.""]",realistic,binary_yes_no,candidate-v1-single-sensitive-topic-direct-005,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-087,True,sensitive_topic_direct,sensitive behaviors,looking at someone else’s private messages,Have you looked at someone else’s private messages without permission in the last year?,"[""Yes"", ""No""]","People have different experiences, and you may skip this question. In the last year, did you look at someone else’s private messages without their permission?","[""Yes"", ""No"", ""Prefer not to answer""]","[""Retain the construct but reduce threat and allow refusal.""]",borderline,binary_yes_no,candidate-v1-single-sensitive-topic-direct-004,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-088,True,sensitive_topic_direct,university life,academic probation or formal warning,Are you currently on academic probation or under a formal academic warning?,"[""Yes"", ""No""]","People have different academic experiences, and you may skip this question. Are you currently on academic probation or under a formal academic warning?","[""Yes"", ""No"", ""Prefer not to answer"", ""Not sure""]","[""Add a neutral preface and a nonresponse option for the sensitive status item.""]",obvious,binary_yes_no,candidate-v1-single-sensitive-topic-direct-010,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-089,True,social_desirability,environment,frequency of sorting recyclable waste,"When your household handles waste, how often do you responsibly sort it for recycling, as everyone should?","[""Never"", ""Sometimes"", ""Always""]","During a typical week, how often do you sort household waste for recycling?","[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Very often"", ""Not applicable""]","[""Remove the moral cue and ask about the behavior neutrally.""]",realistic,frequency,candidate-v1-single-social-desirability-009,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-090,True,social_desirability,health,frequency of eating fruit,"In a typical day, how often do you make the healthy choice to eat fruit?","[""Rarely"", ""Usually"", ""Always""]","In the past 7 days, on how many days did you eat at least one portion of fruit?","[""0 days"", ""1-2 days"", ""3-4 days"", ""5-6 days"", ""7 days""]","[""Avoid wording that praises one response as healthy.""]",borderline,frequency,candidate-v1-single-social-desirability-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-091,True,social_desirability,politics/public policy,voting participation,Responsible citizens vote in local elections. Did you vote in the most recent local election?,"[""Yes"", ""No""]",Did you vote in the most recent local election?,"[""Yes"", ""No"", ""Not eligible to vote"", ""Prefer not to answer""]","[""Remove the civic-duty cue that pressures respondents toward yes.""]",obvious,binary_yes_no,candidate-v1-single-social-desirability-013,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-092,True,social_desirability,work,reporting errors at work,"At work, how often do you honestly report mistakes instead of hiding them?","[""Never"", ""Sometimes"", ""Always"", ""Not applicable""]","In the last 3 months, how often did you report a work mistake to the person responsible for handling it?","[""Never"", ""Once"", ""2-3 times"", ""4 or more times"", ""No relevant mistake occurred"", ""Not applicable""]","[""Remove the honesty judgment and define the behavior.""]",realistic,frequency,candidate-v1-single-social-desirability-005,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-093,True,social_desirability,education,attending class prepared,"Before class, how often do you come prepared like a serious student?","[""Never"", ""Sometimes"", ""Always""]","During the last 2 weeks of classes, how often did you complete the assigned preparation before class?","[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Always"", ""Not applicable""]","[""Remove the label of a good student and ask about preparation behavior.""]",borderline,frequency,candidate-v1-single-social-desirability-004,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-094,True,social_desirability,finances,paying bills on time,Do you pay your bills on time like a financially responsible person?,"[""Yes"", ""No""]","During the last 6 months, were any household bills paid after their due date?","[""Yes"", ""No"", ""Not sure"", ""Prefer not to say""]","[""Remove the socially desirable identity cue and ask about the event neutrally.""]",obvious,binary_yes_no,candidate-v1-single-social-desirability-007,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-095,True,social_desirability,technology,using strong passwords,"Do you use strong passwords, as careful internet users should?","[""Yes"", ""No""]","For your most important online account, which statement best describes your password?","[""Unique password not used elsewhere"", ""Password reused on some sites"", ""Password reused on many sites"", ""Not sure"", ""Prefer not to say""]","[""Avoid implying that one answer is morally superior.""]",realistic,categorical_closed_ended,candidate-v1-single-social-desirability-008,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-096,True,social_desirability,family/household,checking on older relatives,"In your family, how often do you do the right thing and check on older relatives who might need help?","[""Never"", ""Sometimes"", ""Always"", ""Not applicable""]","In the past 30 days, how often did you contact an older relative to ask whether they needed help?","[""Not at all"", ""Once"", ""2-3 times"", ""Weekly"", ""More than weekly"", ""Not applicable""]","[""Remove the normative phrasing and specify the behavior.""]",borderline,frequency,candidate-v1-single-social-desirability-010,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-097,True,negative_wording,health,ease of understanding medication instructions,How difficult was it for you not to understand the medication instructions you received?,"[""Very difficult"", ""Somewhat difficult"", ""Neither difficult nor easy"", ""Somewhat easy"", ""Very easy""]",How easy or difficult was it for you to understand the medication instructions you received?,"[""Very difficult"", ""Somewhat difficult"", ""Neither easy nor difficult"", ""Somewhat easy"", ""Very easy""]","[""Remove the negation and align the scale with the positive construct.""]",obvious,ordinal_categories,candidate-v1-single-negative-wording-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-098,True,negative_wording,technology,concern about data sharing,How unconcerned are you about apps not sharing your data without permission?,"[""Very unconcerned"", ""Somewhat unconcerned"", ""Neither unconcerned nor concerned"", ""Somewhat concerned"", ""Very concerned""]",How concerned are you about apps sharing your data without your permission?,"[""Not at all concerned"", ""Slightly concerned"", ""Moderately concerned"", ""Very concerned"", ""Extremely concerned""]","[""Rewrite the item without nested negative wording.""]",realistic,ordinal_categories,candidate-v1-single-negative-wording-011,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-099,True,negative_wording,labor,ability to disconnect from work messages,How often are you not unable to avoid checking work messages after hours?,"[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Always""]",How often do you check work messages after your scheduled work hours?,"[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Always"", ""Not applicable""]","[""Replace the double negative with a direct behavioral question.""]",borderline,frequency,candidate-v1-single-negative-wording-007,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-100,True,negative_wording,education,clarity of exam instructions,To what extent do you disagree that exam instructions were not unclear?,"[""Strongly disagree"", ""Somewhat disagree"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Strongly agree""]",How clear or unclear were the exam instructions?,"[""Very unclear"", ""Somewhat unclear"", ""Neither clear nor unclear"", ""Somewhat clear"", ""Very clear""]","[""Avoid the disagree-not-unclear construction and ask directly about clarity.""]",obvious,likert_agreement,candidate-v1-single-negative-wording-005,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-101,True,negative_wording,public services,ease of finding permit information,How hard was it not to find information about permit requirements on the city website?,"[""Very hard"", ""Somewhat hard"", ""Neither hard nor easy"", ""Somewhat easy"", ""Very easy""]",How easy or difficult was it to find information about permit requirements on the city website?,"[""Very difficult"", ""Somewhat difficult"", ""Neither easy nor difficult"", ""Somewhat easy"", ""Very easy""]","[""Remove the unnecessary negation.""]",realistic,ordinal_categories,candidate-v1-single-negative-wording-023,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-102,True,negative_wording,environment,support for reducing plastic packaging,Do you oppose not reducing single-use plastic packaging in supermarkets?,"[""Yes"", ""No""]",To what extent do you support or oppose reducing single-use plastic packaging in supermarkets?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Convert the negatively worded yes/no item into a direct support-oppose item.""]",borderline,binary_yes_no,candidate-v1-single-negative-wording-013,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-103,True,negative_wording,university life,satisfaction with feedback timing,How dissatisfied are you with feedback not arriving late?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]",How satisfied or dissatisfied are you with the timing of feedback on assignments?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]","[""Remove the negation and ask directly about timing.""]",obvious,ordinal_categories,candidate-v1-single-negative-wording-021,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-104,True,negative_wording,family/household,difficulty arranging childcare,How easy was it not to be unable to arrange childcare when needed?,"[""Very easy"", ""Somewhat easy"", ""Neither easy nor difficult"", ""Somewhat difficult"", ""Very difficult""]",How easy or difficult was it to arrange childcare when needed?,"[""Very difficult"", ""Somewhat difficult"", ""Neither easy nor difficult"", ""Somewhat easy"", ""Very easy"", ""Not applicable""]","[""Eliminate the double negative and preserve the access construct.""]",realistic,ordinal_categories,candidate-v1-single-negative-wording-017,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-105,True,open_closed_mismatch,health,reasons for postponing medical appointments,Please describe in your own words the main reason you postponed a medical appointment.,"[""Cost"", ""No time"", ""Could not get appointment"", ""Forgot""]",What was the main reason you postponed a medical appointment?,"[""Cost"", ""Lack of time"", ""Could not get an appointment"", ""Transportation problem"", ""Forgot"", ""Other"", ""Did not postpone an appointment""]","[""Match the closed response options to a closed-ended request or remove the options for an open-ended item.""]",borderline,open_ended,candidate-v1-single-open-closed-mismatch-004,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-106,True,open_closed_mismatch,mobility,main reasons for not cycling,What are all the reasons you do not cycle more often?,"[""Unsafe routes"", ""Bad weather"", ""No bicycle"", ""Other""]",Which of the following are reasons you do not cycle more often? Select all that apply.,"[""Unsafe routes"", ""Bad weather"", ""No bicycle"", ""Long distance"", ""Physical difficulty"", ""No interest"", ""Other"", ""Not applicable""]","[""Use a closed select-all request to match the listed options.""]",obvious,open_ended,candidate-v1-single-open-closed-mismatch-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-107,True,open_closed_mismatch,public services,details of problem with online portal,Tell us what happened when you last had a problem with the municipal online portal.,"[""Login problem"", ""Payment problem"", ""Document upload problem"", ""No problem""]","What type of problem, if any, did you last have with the municipal online portal?","[""No problem"", ""Login problem"", ""Payment problem"", ""Document upload problem"", ""Could not find information"", ""Other""]","[""Change the open narrative request into a closed classification item.""]",realistic,open_ended,candidate-v1-single-open-closed-mismatch-001,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-108,True,open_closed_mismatch,education,suggestions for improving lectures,What specific change would most improve lectures in your program?,"[""More examples"", ""Slower pace"", ""More interaction"", ""Better slides""]",Which change would most improve lectures in your program?,"[""More examples"", ""Slower pace"", ""More interaction"", ""Clearer slides"", ""More feedback"", ""Other""]","[""Align the wording with a closed-ended single-choice format.""]",borderline,open_ended,candidate-v1-single-open-closed-mismatch-002,final_gold_200_unique_v3_pure_loaded,,
